Internship_ID,Company,Required_Field,Required_Skills,Location,Role
34,Gordon-Jackson,Petroleum Engineering,"Geophysics, Reservoir Engineering",Enugu,Petroleum Engineering Intern
35,Parker-Holmes,Civil Engineering,"AutoCAD, Construction Management, Structural Analysis",Kano,Civil Engineering Intern
36,Wilson LLC,Architecture,"Building Design, Sustainable Architecture, AutoCAD",Onitsha,Design Intern
37,Cunningham-Velez,Civil Engineering,"Construction Management, Structural Analysis, AutoCAD",Lagos,Civil Engineering Intern
38,"Li, Baird and Henry",Business Administration,Management,Abuja,Business Intern
39,Middleton-Lewis,Pharmacy,"Drug Design, Clinical Pharmacy, Pharmacology",Abuja,Design Intern
40,"Hardy, Pham and Richardson",Electrical Engineering,Signal Processing,Kaduna,Electrical Engineering Intern
41,"Young, Hansen and Hall",Architecture,"Building Design, Urban Planning, Sustainable Architecture",Kaduna,Design Intern
42,Moreno-Kemp,Mechanical Engineering,"SolidWorks, Finite Element Analysis, MATLAB",Onitsha,Mechanical Engineering Intern
43,Gutierrez-Clark,Business Administration,Finance,Kano,Finance Intern
44,Nelson-Carter,Electrical Engineering,Circuit Design,Lagos,Electrical Engineering Intern
45,Jackson-Frank,Computer Science,SQL,Enugu,Software Engineering Intern
46,Green-Powell,Pharmacy,Chemistry,Kaduna,Administrative Intern
47,Gonzalez-Johnson,Medical Laboratory Science,Biochemistry,Enugu,Administrative Intern
48,Bullock PLC,Business Administration,Marketing,Benin City,Business Intern
49,"Hansen, Carter and Odonnell",Computer Science,Python,Abuja,Software Engineering Intern
50,Stevens-Osborne,Computer Science,"SQL, ML, C++",Onitsha,Software Engineering Intern
51,Myers Group,Computer Science,C++,Enugu,Software Engineering Intern
52,Payne-Rice,Civil Engineering,"Structural Analysis, AutoCAD",Onitsha,Civil Engineering Intern
53,"Bennett, Parker and Smith",Pharmacy,"Pharmacology, Drug Design, Chemistry",Benin City,Design Intern
54,"Dixon, Baldwin and Johnson",Medical Laboratory Science,Pathology,Lagos,Administrative Intern
55,Mitchell PLC,Pharmacy,"Drug Design, Clinical Pharmacy",Onitsha,Design Intern
56,"Crawford, Haas and Jones",Computer Science,Java,Ibadan,Software Engineering Intern
57,Baxter-Guerra,Nursing Science,Clinical Practice,Kano,Nursing Intern
58,Lynch-Snow,Business Administration,"Human Resources, Project Management, Management",Port Harcourt,HR Intern
59,Weber-Harris,Architecture,"AutoCAD, Building Design, Urban Planning",Port Harcourt,Design Intern
60,Grant-Hudson,Medical Laboratory Science,"Pathology, Lab Techniques",Ibadan,Administrative Intern
61,Park LLC,Petroleum Engineering,"Reservoir Engineering, Drilling, Oil Field Operations",Benin City,Petroleum Engineering Intern
62,"Thomas, Lester and Perez",Mechanical Engineering,Finite Element Analysis,Benin City,Mechanical Engineering Intern
63,"Russell, Little and Mccormick",Medical Laboratory Science,Pathology,Benin City,Administrative Intern
64,"Wilson, Wang and Wells",Business Administration,"Project Management, Marketing",Kano,Project Management Intern
65,Wallace-Pace,Petroleum Engineering,"Drilling, Geophysics, Oil Field Operations",Kaduna,Petroleum Engineering Intern
66,Liu-Parks,Pharmacy,Clinical Pharmacy,Kano,Administrative Intern
67,"Campos, Ortega and Williams",Pharmacy,"Drug Design, Clinical Pharmacy, Chemistry",Port Harcourt,Design Intern
68,Evans Ltd,Medical Laboratory Science,"Microscopy, Lab Techniques",Enugu,Administrative Intern
69,Edwards and Sons,Business Administration,Human Resources,Ibadan,HR Intern
70,"Moore, Meza and Moreno",Civil Engineering,"Structural Analysis, Surveying, Construction Management",Kano,Civil Engineering Intern
71,Smith-Jones,Business Administration,"Marketing, Management, Finance",Onitsha,Finance Intern
72,Flowers Group,Mechanical Engineering,"Finite Element Analysis, MATLAB",Lagos,Mechanical Engineering Intern
73,Henderson-Green,Electrical Engineering,"C++, Embedded Systems, Power Systems",Enugu,Electrical Engineering Intern
74,Mora Group,Mechanical Engineering,"Finite Element Analysis, SolidWorks",Aba,Mechanical Engineering Intern
75,Bolton Ltd,Civil Engineering,Construction Management,Abuja,Civil Engineering Intern
76,"Colon, Howell and Allen",Nursing Science,"Clinical Practice, Pharmacology, Patient Care",Lagos,Nursing Intern
77,Higgins Inc,Electrical Engineering,"Power Systems, Signal Processing, C++",Lagos,Electrical Engineering Intern
78,Sandoval-Vega,Business Administration,"Finance, Marketing",Kaduna,Finance Intern
79,"Curtis, Rice and Larson",Computer Science,"Java, ML",Benin City,Software Engineering Intern
80,"Jones, Vance and Chandler",Pharmacy,"Pharmacology, Chemistry, Drug Design",Lagos,Design Intern
81,Washington Group,Architecture,"Urban Planning, AutoCAD",Benin City,Administrative Intern
82,Johnson-Richardson,Nursing Science,Patient Care,Abuja,Nursing Intern
83,"Maldonado, Mckinney and Brown",Petroleum Engineering,"Drilling, Oil Field Operations, Geophysics",Aba,Petroleum Engineering Intern
84,Clarke-Turner,Mechanical Engineering,"SolidWorks, CAD, MATLAB",Enugu,Mechanical Engineering Intern
85,Poole-Ruiz,Pharmacy,"Drug Design, Clinical Pharmacy, Chemistry",Abuja,Design Intern
86,"Santos, Hernandez and Mills",Business Administration,Finance,Port Harcourt,Finance Intern
87,Gordon Group,Pharmacy,Pharmacology,Aba,Administrative Intern
88,"Cannon, Hicks and Wright",Nursing Science,"Patient Care, Clinical Practice, Pharmacology",Lagos,Nursing Intern
89,Robinson Inc,Architecture,"Sustainable Architecture, Urban Planning, AutoCAD",Port Harcourt,Administrative Intern
90,Schultz-Mcdonald,Civil Engineering,Structural Analysis,Ibadan,Civil Engineering Intern
91,Edwards-Burns,Electrical Engineering,"Power Systems, C++",Abuja,Electrical Engineering Intern
92,Williams Inc,Pharmacy,"Clinical Pharmacy, Drug Design",Kaduna,Design Intern
93,Williams Group,Computer Science,"SQL, C++, ML",Onitsha,Software Engineering Intern
94,"Davis, Morgan and Anderson",Computer Science,C++,Onitsha,Software Engineering Intern
95,"Sawyer, Ferrell and Payne",Business Administration,Project Management,Onitsha,Project Management Intern
96,Blackburn-Martinez,Petroleum Engineering,Drilling,Benin City,Petroleum Engineering Intern
97,Flores Inc,Nursing Science,Anatomy,Aba,Nursing Intern
98,Adams-Mcmillan,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations",Aba,Petroleum Engineering Intern
99,King-Allen,Civil Engineering,AutoCAD,Ibadan,Civil Engineering Intern
100,Lee LLC,Medical Laboratory Science,"Pathology, Lab Techniques, Microscopy",Benin City,Administrative Intern
101,Olson-Miller,Architecture,Building Design,Ibadan,Design Intern
102,"Clark, Watkins and Wood",Mechanical Engineering,"Finite Element Analysis, CAD, SolidWorks",Onitsha,Mechanical Engineering Intern
103,"Hernandez, Curtis and Garcia",Mechanical Engineering,"MATLAB, CAD",Abuja,Mechanical Engineering Intern
104,Brown-Mendoza,Electrical Engineering,"Embedded Systems, Power Systems",Onitsha,Electrical Engineering Intern
105,"Ramos, Burke and Wilson",Architecture,Building Design,Lagos,Design Intern
106,Robinson-Rodriguez,Petroleum Engineering,Geophysics,Kaduna,Petroleum Engineering Intern
107,Young and Sons,Electrical Engineering,"Circuit Design, Power Systems, Signal Processing",Onitsha,Electrical Engineering Intern
108,"Davidson, Moore and Morgan",Civil Engineering,Structural Analysis,Port Harcourt,Civil Engineering Intern
109,Wells-Bruce,Business Administration,Human Resources,Lagos,HR Intern
110,Moore Group,Business Administration,Finance,Abuja,Finance Intern
111,Harris-Huff,Business Administration,"Marketing, Human Resources, Finance",Aba,HR Intern
112,"Collins, Armstrong and Hamilton",Pharmacy,"Chemistry, Drug Design",Onitsha,Design Intern
113,"Huynh, Johnson and Rosales",Pharmacy,Chemistry,Port Harcourt,Administrative Intern
114,"Gill, Hall and Mcgee",Electrical Engineering,"Circuit Design, C++, Signal Processing",Enugu,Electrical Engineering Intern
115,Reed Group,Architecture,"Building Design, Sustainable Architecture, Urban Planning",Abuja,Design Intern
116,Mccarty-Galvan,Computer Science,"Java, SQL, C++",Ibadan,Software Engineering Intern
117,"Spencer, Harper and Henderson",Mechanical Engineering,CAD,Lagos,Mechanical Engineering Intern
118,Gray-Lee,Pharmacy,Pharmacology,Enugu,Administrative Intern
119,Thompson Group,Civil Engineering,"AutoCAD, Structural Analysis, Construction Management",Aba,Civil Engineering Intern
120,Dunn-Watkins,Petroleum Engineering,Geophysics,Onitsha,Petroleum Engineering Intern
121,Hudson Group,Pharmacy,"Chemistry, Drug Design, Pharmacology",Kaduna,Design Intern
122,"Parrish, Davis and Bond",Computer Science,"SQL, ML, Python",Onitsha,Software Engineering Intern
123,"Reid, Booker and Combs",Pharmacy,Chemistry,Enugu,Administrative Intern
124,Marshall-Roberson,Medical Laboratory Science,"Lab Techniques, Biochemistry, Pathology",Port Harcourt,Administrative Intern
125,Fowler-Schroeder,Electrical Engineering,"C++, Circuit Design",Enugu,Electrical Engineering Intern
126,Haynes Inc,Computer Science,Python,Benin City,Software Engineering Intern
127,Perez LLC,Pharmacy,Clinical Pharmacy,Kaduna,Administrative Intern
128,Green-Davis,Computer Science,"Java, Python, C++",Abuja,Software Engineering Intern
129,Bond-Reynolds,Medical Laboratory Science,"Lab Techniques, Pathology",Onitsha,Administrative Intern
130,"Gregory, Davis and Mcdowell",Computer Science,Python,Port Harcourt,Software Engineering Intern
131,"Green, Burch and Greene",Nursing Science,"Patient Care, Clinical Practice",Abuja,Nursing Intern
132,Carpenter-Craig,Civil Engineering,"Structural Analysis, AutoCAD",Kaduna,Civil Engineering Intern
133,Payne Inc,Nursing Science,Anatomy,Onitsha,Nursing Intern
134,Myers Group,Mechanical Engineering,"Finite Element Analysis, SolidWorks, CAD",Kaduna,Mechanical Engineering Intern
135,"Scott, Meyers and Ryan",Computer Science,"C++, SQL",Onitsha,Software Engineering Intern
136,Miller-Higgins,Nursing Science,"Patient Care, Anatomy",Onitsha,Nursing Intern
137,Campbell-Stevens,Computer Science,Python,Lagos,Software Engineering Intern
138,Hines LLC,Business Administration,Marketing,Ibadan,Business Intern
139,Williams-Prince,Computer Science,"Java, SQL",Kaduna,Software Engineering Intern
140,"Lopez, King and Howard",Pharmacy,Pharmacology,Abuja,Administrative Intern
141,Oliver-Erickson,Nursing Science,Pharmacology,Aba,Nursing Intern
142,Weber Group,Business Administration,"Finance, Human Resources, Management",Lagos,HR Intern
143,Jones-Peterson,Business Administration,"Marketing, Project Management",Lagos,Project Management Intern
144,"Chavez, Taylor and Reynolds",Computer Science,"SQL, Java",Onitsha,Software Engineering Intern
145,Pruitt LLC,Nursing Science,"Clinical Practice, Pharmacology, Patient Care",Port Harcourt,Nursing Intern
146,"Davis, Parker and Alvarez",Computer Science,"Java, Python",Port Harcourt,Software Engineering Intern
147,"Gallagher, Howe and Collins",Nursing Science,Pharmacology,Port Harcourt,Nursing Intern
148,Baker-Rhodes,Mechanical Engineering,"SolidWorks, CAD, Finite Element Analysis",Onitsha,Mechanical Engineering Intern
149,"Alexander, Martin and Armstrong",Architecture,Sustainable Architecture,Kano,Administrative Intern
150,George Inc,Nursing Science,"Anatomy, Pharmacology, Patient Care",Abuja,Nursing Intern
151,Ferguson PLC,Medical Laboratory Science,"Lab Techniques, Biochemistry, Microscopy",Enugu,Administrative Intern
152,Scott-Watts,Pharmacy,Pharmacology,Ibadan,Administrative Intern
153,Yang Inc,Mechanical Engineering,"CAD, SolidWorks, MATLAB",Enugu,Mechanical Engineering Intern
154,Jensen-Erickson,Mechanical Engineering,Finite Element Analysis,Kano,Mechanical Engineering Intern
155,"Fields, Willis and Alvarado",Pharmacy,Clinical Pharmacy,Kano,Administrative Intern
156,Sanchez-Estrada,Architecture,AutoCAD,Benin City,Administrative Intern
157,Gutierrez-Mcgee,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Drilling",Enugu,Petroleum Engineering Intern
158,"Ferguson, Edwards and White",Nursing Science,"Patient Care, Anatomy, Clinical Practice",Kaduna,Nursing Intern
159,"Malone, Day and Mcintosh",Civil Engineering,AutoCAD,Lagos,Civil Engineering Intern
160,Jones PLC,Business Administration,Finance,Enugu,Finance Intern
161,Montoya-Simpson,Electrical Engineering,"C++, Power Systems, Embedded Systems",Port Harcourt,Electrical Engineering Intern
162,"Taylor, Garcia and Lee",Pharmacy,"Chemistry, Clinical Pharmacy, Pharmacology",Kaduna,Administrative Intern
163,Sawyer-Campbell,Business Administration,"Project Management, Marketing, Management",Abuja,Project Management Intern
164,"Snow, Hammond and Foster",Business Administration,"Marketing, Human Resources, Project Management",Ibadan,HR Intern
165,Jackson-Steele,Business Administration,"Finance, Project Management, Marketing",Kano,Finance Intern
166,Vazquez-Maynard,Medical Laboratory Science,"Lab Techniques, Microscopy, Pathology",Lagos,Administrative Intern
167,Martin Group,Electrical Engineering,"C++, Signal Processing",Kano,Electrical Engineering Intern
168,Jones PLC,Business Administration,"Management, Human Resources, Marketing",Abuja,HR Intern
169,"Weber, Meyers and Horton",Nursing Science,"Clinical Practice, Pharmacology",Onitsha,Nursing Intern
170,Jones PLC,Medical Laboratory Science,Microscopy,Aba,Administrative Intern
171,Harris-Campbell,Business Administration,"Management, Finance",Port Harcourt,Finance Intern
172,"Lester, Meyers and Mcdowell",Civil Engineering,Surveying,Onitsha,Civil Engineering Intern
173,Tran-Williams,Nursing Science,"Pharmacology, Clinical Practice",Kano,Nursing Intern
174,Smith PLC,Medical Laboratory Science,"Microscopy, Pathology",Port Harcourt,Administrative Intern
175,"Montoya, Young and Nguyen",Nursing Science,"Pharmacology, Anatomy",Ibadan,Nursing Intern
176,"Phelps, Smith and Jimenez",Medical Laboratory Science,Microscopy,Onitsha,Administrative Intern
177,"Rodriguez, Barnes and Knox",Civil Engineering,Surveying,Ibadan,Civil Engineering Intern
178,"Thomas, Long and Stanley",Electrical Engineering,"Power Systems, Signal Processing",Port Harcourt,Electrical Engineering Intern
179,"Clark, Morris and Wolfe",Civil Engineering,"Surveying, Structural Analysis",Abuja,Civil Engineering Intern
180,Saunders-Harper,Computer Science,"SQL, Java, ML",Kano,Software Engineering Intern
181,"Bryan, Chapman and Solomon",Electrical Engineering,Circuit Design,Abuja,Electrical Engineering Intern
182,Baker-Gonzalez,Nursing Science,"Clinical Practice, Patient Care",Benin City,Nursing Intern
183,"Villanueva, Bowers and Grant",Petroleum Engineering,"Geophysics, Reservoir Engineering",Kaduna,Petroleum Engineering Intern
184,Rodriguez-Lang,Electrical Engineering,"Embedded Systems, C++, Power Systems",Kano,Electrical Engineering Intern
185,"Lowe, Fox and Ellis",Civil Engineering,"Structural Analysis, Construction Management, AutoCAD",Port Harcourt,Civil Engineering Intern
186,"Perry, Garcia and Smith",Civil Engineering,"Construction Management, Structural Analysis",Kano,Civil Engineering Intern
187,Gonzalez Ltd,Architecture,"Building Design, Sustainable Architecture, Urban Planning",Port Harcourt,Design Intern
188,Walters-Green,Electrical Engineering,"Circuit Design, Embedded Systems, C++",Onitsha,Electrical Engineering Intern
189,Jimenez and Sons,Electrical Engineering,"Circuit Design, C++, Embedded Systems",Aba,Electrical Engineering Intern
190,Terry LLC,Electrical Engineering,"Signal Processing, Circuit Design",Abuja,Electrical Engineering Intern
191,Wise-Moody,Business Administration,"Finance, Human Resources",Ibadan,HR Intern
192,"Smith, Smith and Wright",Computer Science,SQL,Benin City,Software Engineering Intern
193,"Donovan, Vega and Hernandez",Architecture,AutoCAD,Port Harcourt,Administrative Intern
194,"Martin, Castillo and Allen",Civil Engineering,"Construction Management, AutoCAD, Structural Analysis",Kano,Civil Engineering Intern
195,Gregory-Figueroa,Pharmacy,Clinical Pharmacy,Kano,Administrative Intern
196,"Dawson, Smith and Hamilton",Computer Science,"Java, SQL",Benin City,Software Engineering Intern
197,Johnson Inc,Computer Science,"Java, Python",Kaduna,Software Engineering Intern
198,Walters Inc,Electrical Engineering,"C++, Circuit Design",Kano,Electrical Engineering Intern
199,Christian-Short,Petroleum Engineering,Geophysics,Lagos,Petroleum Engineering Intern
200,Gibson and Sons,Petroleum Engineering,Reservoir Engineering,Aba,Petroleum Engineering Intern
201,Roberson LLC,Business Administration,"Human Resources, Finance",Lagos,HR Intern
202,Alexander Ltd,Architecture,"Building Design, Urban Planning, Sustainable Architecture",Abuja,Design Intern
203,"Johnson, Landry and English",Civil Engineering,"Construction Management, AutoCAD",Kano,Civil Engineering Intern
204,"Thompson, Wolf and Potts",Computer Science,"C++, Java, ML",Ibadan,Software Engineering Intern
205,Hoffman-Evans,Pharmacy,"Chemistry, Drug Design, Pharmacology",Abuja,Design Intern
206,"Rivera, Ramirez and Little",Nursing Science,"Anatomy, Pharmacology",Abuja,Nursing Intern
207,"Calhoun, Foster and Hill",Mechanical Engineering,"MATLAB, Finite Element Analysis",Enugu,Mechanical Engineering Intern
208,Griffin PLC,Pharmacy,"Chemistry, Drug Design",Benin City,Design Intern
209,Hartman-Nolan,Nursing Science,"Anatomy, Patient Care, Clinical Practice",Benin City,Nursing Intern
210,Hall-Tucker,Electrical Engineering,"C++, Embedded Systems",Abuja,Electrical Engineering Intern
211,"Holder, Steele and Johnson",Computer Science,Java,Kaduna,Software Engineering Intern
212,Shah Group,Nursing Science,Patient Care,Benin City,Nursing Intern
213,Hall-Weaver,Civil Engineering,AutoCAD,Kano,Civil Engineering Intern
214,Barnes-Parsons,Nursing Science,Clinical Practice,Port Harcourt,Nursing Intern
215,Wells-Obrien,Business Administration,"Management, Finance",Enugu,Finance Intern
216,Miller-Kim,Civil Engineering,"AutoCAD, Structural Analysis, Surveying",Benin City,Civil Engineering Intern
217,"Cunningham, Kaiser and Hanson",Petroleum Engineering,"Drilling, Reservoir Engineering",Ibadan,Petroleum Engineering Intern
218,"Cooper, Stewart and Hendrix",Mechanical Engineering,"SolidWorks, Finite Element Analysis",Enugu,Mechanical Engineering Intern
219,Anderson Ltd,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations",Enugu,Petroleum Engineering Intern
220,Hill-Armstrong,Pharmacy,Clinical Pharmacy,Aba,Administrative Intern
221,Martinez-Cole,Medical Laboratory Science,"Pathology, Biochemistry",Lagos,Administrative Intern
222,Sanchez-Jenkins,Petroleum Engineering,Drilling,Aba,Petroleum Engineering Intern
223,Hudson Ltd,Petroleum Engineering,Geophysics,Benin City,Petroleum Engineering Intern
224,Goodwin LLC,Medical Laboratory Science,Microscopy,Ibadan,Administrative Intern
225,Smith Group,Medical Laboratory Science,Pathology,Lagos,Administrative Intern
226,Forbes Ltd,Mechanical Engineering,MATLAB,Kaduna,Mechanical Engineering Intern
227,"Nelson, Young and Parker",Medical Laboratory Science,Biochemistry,Onitsha,Administrative Intern
228,Hall-Romero,Pharmacy,Clinical Pharmacy,Aba,Administrative Intern
229,"Johnson, Bass and Boyd",Architecture,Urban Planning,Enugu,Administrative Intern
230,Porter-Garcia,Electrical Engineering,Signal Processing,Ibadan,Electrical Engineering Intern
231,Bell Ltd,Business Administration,"Finance, Project Management",Ibadan,Finance Intern
232,"Clay, Johnson and Gardner",Nursing Science,Patient Care,Port Harcourt,Nursing Intern
233,"Carter, Hinton and Moses",Business Administration,"Marketing, Human Resources",Abuja,HR Intern
234,Smith Ltd,Computer Science,"ML, C++",Lagos,Software Engineering Intern
235,Carter Ltd,Electrical Engineering,"Circuit Design, C++",Port Harcourt,Electrical Engineering Intern
236,Whitehead-Reed,Architecture,AutoCAD,Aba,Administrative Intern
237,Hill Group,Pharmacy,"Chemistry, Pharmacology",Ibadan,Administrative Intern
238,"Collins, Anthony and Stanley",Electrical Engineering,"Power Systems, Embedded Systems, Circuit Design",Lagos,Electrical Engineering Intern
239,Johnson and Sons,Petroleum Engineering,Geophysics,Port Harcourt,Petroleum Engineering Intern
240,"Wagner, Johnson and Peterson",Medical Laboratory Science,Microscopy,Ibadan,Administrative Intern
241,Patterson-Cox,Civil Engineering,"Structural Analysis, Surveying, Construction Management",Kano,Civil Engineering Intern
242,"Harris, Olsen and Harvey",Petroleum Engineering,Geophysics,Ibadan,Petroleum Engineering Intern
243,Bauer-Hebert,Pharmacy,Clinical Pharmacy,Lagos,Administrative Intern
244,Palmer PLC,Petroleum Engineering,"Oil Field Operations, Reservoir Engineering, Drilling",Kaduna,Petroleum Engineering Intern
245,"Turner, Miller and Le",Mechanical Engineering,"CAD, MATLAB, Finite Element Analysis",Lagos,Mechanical Engineering Intern
246,Washington-Sanchez,Nursing Science,"Pharmacology, Anatomy, Patient Care",Abuja,Nursing Intern
247,"Wheeler, Lewis and Boyer",Architecture,"Building Design, AutoCAD",Kano,Design Intern
248,"Schwartz, Russo and Carter",Computer Science,ML,Enugu,Software Engineering Intern
249,Haas-Henderson,Pharmacy,"Pharmacology, Clinical Pharmacy, Drug Design",Abuja,Design Intern
250,Crawford Ltd,Nursing Science,"Clinical Practice, Pharmacology",Kaduna,Nursing Intern
251,"Tucker, Carter and Lawrence",Business Administration,"Management, Finance",Port Harcourt,Finance Intern
252,Oliver Group,Civil Engineering,"Structural Analysis, AutoCAD",Ibadan,Civil Engineering Intern
253,Liu Ltd,Nursing Science,"Patient Care, Anatomy",Kano,Nursing Intern
254,"Ruiz, Nelson and Goodman",Electrical Engineering,"Signal Processing, Power Systems",Kaduna,Electrical Engineering Intern
255,Schneider-Rogers,Medical Laboratory Science,"Biochemistry, Microscopy, Lab Techniques",Ibadan,Administrative Intern
256,"Baker, Miller and Gray",Mechanical Engineering,MATLAB,Ibadan,Mechanical Engineering Intern
257,"Walker, Castro and Smith",Architecture,"Building Design, Urban Planning",Port Harcourt,Design Intern
258,Avery-Harrison,Nursing Science,"Clinical Practice, Patient Care",Benin City,Nursing Intern
259,"Daugherty, Mccullough and Garza",Pharmacy,"Clinical Pharmacy, Pharmacology, Chemistry",Aba,Administrative Intern
260,"Fisher, Garcia and Chang",Business Administration,"Human Resources, Marketing, Management",Aba,HR Intern
261,"James, Martin and Howard",Electrical Engineering,Embedded Systems,Port Harcourt,Electrical Engineering Intern
262,"Weber, Bell and Myers",Mechanical Engineering,"SolidWorks, CAD, MATLAB",Kano,Mechanical Engineering Intern
263,Simpson-Owens,Pharmacy,Drug Design,Kano,Design Intern
264,"Gallegos, Dominguez and Woods",Mechanical Engineering,CAD,Port Harcourt,Mechanical Engineering Intern
265,Clarke-Martin,Business Administration,"Marketing, Finance",Onitsha,Finance Intern
266,"Ortiz, Henry and Lee",Architecture,Urban Planning,Abuja,Administrative Intern
267,Hinton-Burgess,Nursing Science,"Anatomy, Clinical Practice, Patient Care",Kano,Nursing Intern
268,Lindsey-Page,Architecture,"AutoCAD, Building Design",Port Harcourt,Design Intern
269,Beasley Group,Pharmacy,Pharmacology,Benin City,Administrative Intern
270,Poole PLC,Electrical Engineering,Embedded Systems,Abuja,Electrical Engineering Intern
271,Knight-Newman,Petroleum Engineering,"Geophysics, Drilling",Onitsha,Petroleum Engineering Intern
272,"Miller, Costa and Harrison",Architecture,"Sustainable Architecture, AutoCAD, Building Design",Aba,Design Intern
273,"Wolfe, Stone and Gallagher",Computer Science,"Java, SQL",Benin City,Software Engineering Intern
274,Thompson-Walker,Mechanical Engineering,SolidWorks,Aba,Mechanical Engineering Intern
275,Bass Group,Pharmacy,"Drug Design, Pharmacology",Abuja,Design Intern
276,Gaines PLC,Business Administration,Management,Benin City,Business Intern
277,King-Holt,Architecture,"Sustainable Architecture, Building Design",Abuja,Design Intern
278,"Hart, Miller and Yates",Pharmacy,"Pharmacology, Chemistry",Port Harcourt,Administrative Intern
279,"Brown, Henson and Hatfield",Electrical Engineering,Embedded Systems,Aba,Electrical Engineering Intern
280,Stone-Stein,Nursing Science,"Clinical Practice, Anatomy",Abuja,Nursing Intern
281,"Ward, Trujillo and Tyler",Electrical Engineering,Power Systems,Aba,Electrical Engineering Intern
282,"Ryan, Howard and Sullivan",Petroleum Engineering,"Oil Field Operations, Reservoir Engineering",Onitsha,Petroleum Engineering Intern
283,"Bishop, Stephens and Harris",Business Administration,Finance,Aba,Finance Intern
284,Martinez-Shaw,Pharmacy,"Chemistry, Drug Design, Clinical Pharmacy",Port Harcourt,Design Intern
285,"Davis, Harris and Anderson",Nursing Science,Clinical Practice,Enugu,Nursing Intern
286,French Group,Pharmacy,"Drug Design, Chemistry",Benin City,Design Intern
287,"Campbell, Gilbert and Obrien",Civil Engineering,"AutoCAD, Structural Analysis, Construction Management",Lagos,Civil Engineering Intern
288,Thompson-Esparza,Electrical Engineering,C++,Lagos,Electrical Engineering Intern
289,Wright Inc,Medical Laboratory Science,Lab Techniques,Enugu,Administrative Intern
290,Clark-Carpenter,Nursing Science,"Pharmacology, Clinical Practice, Patient Care",Ibadan,Nursing Intern
291,Swanson-Gallegos,Nursing Science,"Patient Care, Clinical Practice, Anatomy",Enugu,Nursing Intern
